,Restaurant Name,Price Level,Rating,Address,City Code
0,Buffalo Wild Wings,2,3.6,"1700 Towne Center Lane, Albuquerque",ABQ
1,Subway,1,4,"1306 Gibson Boulevard Southeast, Albuquerque",ABQ
2,Dion's,1,4.5,"1600 Towne Center Lane, Albuquerque",ABQ
3,Applebee's Grill + Bar,2,4,"2000 Yale Boulevard Southeast, Albuquerque",ABQ
4,Subway,1,3.9,"4503 Biggs Avenue Southeast Building 944, Kirtland Air Force Base",ABQ
5,Schlotzsky's,1,3.4,"2200 Sunport Boulevard, Albuquerque",ABQ
6,Fuddruckers,2,4.2,"2120 Yale Boulevard Southeast, Albuquerque",ABQ
7,Little Caesars Pizza,1,4,"2039 Yale Boulevard Southeast, Albuquerque",ABQ
8,Chili's Grill & Bar,2,3.9,"1700 Miles Road Southeast, Albuquerque",ABQ
9,Blake's Lotaburger,1,3.5,"1640 Gibson Boulevard Southeast, Albuquerque",ABQ
10,Malone's Steak & Seafood,2,4,"1258 Virginia Avenue, Atlanta",ATL
11,Spondivits,2,3.9,"1219 Virginia Avenue, East Point",ATL
12,Champions,2,4,"2020 Convention Center Concourse, Atlanta",ATL
13,Chick-fil-A,1,4.4,"461 North Central Avenue, Hapeville",ATL
14,Ruby Tuesday,2,3.4,"1230 Virginia Avenue, East Point",ATL
15,Ruby Tuesday,2,3.7,"1925 Sullivan Road, College Park",ATL
16,Arby's,1,3.3,"6000 North Terminal Parkway, Atlanta",ATL
17,Thumbs Up Diner,1,4.5,"1617 White Way, Atlanta",ATL
18,Cracker Barrel Old Country Store,2,3.9,"1520 West Nursery Road, Linthicum Heights",BWI
19,Subway,1,4.1,"7502 Connelley Drive Suite 115, Hanover",BWI
20,Cantina Mamma Lucia,2,4.3,"1350 Dorsey Road unit m, Hanover",BWI
21,Ruby Tuesday,2,3.5,"950 International Drive, Linthicum Heights",BWI
22,Domino's Pizza,1,2.9,"7502 Connelley Drive Ste 112, Hanover",BWI
23,Starbucks,2,4.1,"1700 West Nursery Road, Linthicum Heights",BWI
24,The Elkridge Furnace Inn,3,4.6,"5745 Furnace Avenue, Elkridge",BWI
25,The Grill At Quarterfield Station,2,4.5,"7704 Quarterfield Road D, Glen Burnie",BWI
26,Los Portales,2,4.3,"6938 Aviation Boulevard, Glen Burnie",BWI
27,Subway,1,4.4,"6938-A Aviation Boulevard, Glen Burnie",BWI
28,Legal Sea Foods,3,4.2,"Boston Logan International Airport, Terminal A, 1 Harborside Drive, Boston",BOS
29,Rino's Place,2,4.6,"258 Saratoga Street, Boston",BOS
